gene,time,expression
YDL183C,60,-0.08
YDL184C,60,-0.08
YDL193W,60,0.19
YDL207W,60,0.305
YDL211C,60,0.435
YDL213C,60,0.45499998
YDL214C,60,0.08
YDL215C,60,-0.155
YDL216C,60,0.155
YDL220C,60,-0.06
YDL221W,60,-0.044999998
YDL224C,60,-0.14500001
YDL225W,60,0.29500002
YDL226C,60,0.055
YDL228C,60,-0.065
YDL229W,60,-0.015000001
YDL231C,60,-0.25
YDL232W,60,0.060000002
YDL233W,60,-0.23
YDL234C,60,0.63
YDL235C,60,0.04
YDL236W,60,0.099999994
YDL237W,60,-0.265
YDL238C,60,0.145
YDL240W,60,0.35500002
YDL241W,60,-0.68
YDL242W,60,-0.245
YDL243C,60,-0.36
YDL244W,60,-0.155
YDL245C,60,-0.485
YDL246C,60,-0.185
YDL247W,60,-0.43
YDL248W,60,-0.56
YDR001C,60,-0.275
YDR002W,60,0.39499998
YDR003W,60,-0.04
YDR005C,60,-0.605
YDR006C,60,0.43499997
YDR007W,60,-0.385
YDR008C,60,0.435
YDR009W,60,-0.31
YDR012W,60,0.145
YDR013W,60,-0.785
YDR014W,60,0.114999995
YDR016C,60,0.37
YDR018C,60,-0.034999996
YDR019C,60,-0.47
YDR020C,60,0.315
YDR021W,60,-0.35500002
YDR023W,60,0.345
YDR024W,60,0.15
YDR025W,60,-0.12499999
YDR026C,60,-0.39499998
YDR027C,60,-0.115
YDR029W,60,0.175
YDR030C,60,0.695
YDR031W,60,-0.245
YDR032C,60,-0.044999998
YDR033W,60,-2.28
YDR035W,60,-0.07
YDR036C,60,0.42499998
YDR037W,60,-0.23999998
YDR038C,60,0.745
YDR039C,60,0.17
YDR040C,60,0.55999994
YDR041W,60,-0.29
YDR043C,60,-0.375
YDR044W,60,0.54
YDR045C,60,0.06999999
YDR046C,60,-0.18
YDR047W,60,-0.515
YDR048C,60,0.055
YDR049W,60,-0.435
YDR050C,60,-0.59000003
YDR051C,60,-0.049999997
YDR052C,60,-0.585
YDR053W,60,0.39
YDR054C,60,0.4
YDR055W,60,-0.215
YDR056C,60,0.215
YDR057W,60,-0.16000001
YDR058C,60,-0.18
YDR059C,60,-0.26
YDR060W,60,0.5
YDR061W,60,0.13
YDR062W,60,0.375
YDR063W,60,0.21499999
YDR064W,60,0.245
YDR065W,60,-0.255
YDR067C,60,-0.050000004
YDR069C,60,-0.42000002
YDR071C,60,0.060000002
YDR072C,60,-0.08
YDR073W,60,0.060000002
YDR074W,60,-0.39
YDR075W,60,0.065
YDR076W,60,-0.245
YDR077W,60,-0.96
YDR079W,60,-0.505
YDR080W,60,-0.43
YDR081C,60,-0.025000006
YDR083W,60,0.28
YDR084C,60,0.07
YDR085C,60,-0.325
YDR086C,60,0.13
YDR087C,60,0.26999998
YDR088C,60,0.255
YDR089W,60,-0.425
YDR090C,60,-0.16499999
YDR091C,60,0.020000003
YDR092W,60,-0.024999999
YDR093W,60,-0.17
YDR094W,60,0.215
YDR095C,60,-0.21000001
YDR096W,60,-0.47
YDR097C,60,0.64500004
YDR098C,60,0.18
YDR099W,60,-0.325
YDR100W,60,-0.35500002
YDR101C,60,0.35
YDR103W,60,-0.185
YDR104C,60,-0.024999999
YDR105C,60,-0.16499999
YDR107C,60,-0.355
YDR108W,60,0.225
YDR109C,60,-0.034999996
YDR111C,60,0.655
YDR112W,60,0.83000004
YDR113C,60,1.035
YDR114C,60,-0.08
YDR115W,60,-0.425
YDR116C,60,-0.59000003
YDR117C,60,0.105
YDR118W,60,-0.14
YDR119W,60,-0.19999999
YDR120C,60,0.11
YDR121W,60,-0.00999999
YDR122W,60,-0.205
YDR124W,60,-0.004999995
YDR125C,60,-0.29000002
YDR126W,60,0.11
YDR127W,60,-0.085
YDR128W,60,0.04
YDR130C,60,0.67499995
YDR131C,60,-0.44
YDR133C,60,-0.13499999
YDR134C,60,-0.12499999
YDR135C,60,-0.185
YDR137W,60,0.08
YDR138W,60,-0.24
YDR139C,60,-0.005000003
YDR140W,60,0.049999997
YDR141C,60,0.085
YDR142C,60,0.010000002
YDR143C,60,0.095
YDR144C,60,0.025000002
YDR145W,60,0.11
YDR146C,60,-0.65000004
YDR147W,60,0.305
YDR148C,60,-0.29
YDR150W,60,0.115
YDR151C,60,-0.40499997
YDR152W,60,0.3
YDR153C,60,0.24999999
YDR154C,60,-0.18
YDR155C,60,-0.28
YDR156W,60,0.095
YDR157W,60,-0.575
YDR158W,60,-0.155
YDR159W,60,-0.135
YDR160W,60,-0.044999998
YDR161W,60,0.18500002
YDR162C,60,0.17999999
YDR163W,60,0.125
YDR164C,60,0.065
YDR165W,60,0.125
YDR166C,60,-0.11
YDR167W,60,0.060000002
YDR168W,60,-0.049999997
YDR169C,60,-0.04
YDR170C,60,0.32500002
YDR171W,60,-0.675
YDR172W,60,0.405
YDR173C,60,-0.19500001
YDR174W,60,0.29500002
YDR175C,60,-0.22500001
YDR176W,60,0.24
YDR177W,60,0.125
YDR178W,60,-0.27
YDR179W-A,60,0.33
YDR180W,60,-0.11
YDR181C,60,0.24000001
YDR182W,60,0.32999998
YDR184C,60,0.255
YDR185C,60,-0.095
YDR186C,60,0.059999995
YDR187C,60,0.235
YDR188W,60,0.18
YDR189W,60,0.305
YDR190C,60,-0.08
YDR191W,60,-0.985
YDR192C,60,-0.155
YDR193W,60,-0.17500001
YDR194C,60,-0.55
YDR195W,60,0.019999996
YDR196C,60,0.085
YDR197W,60,0.004999995
YDR198C,60,0.13
YDR199W,60,0.485
YDR200C,60,0.555
YDR201W,60,0.17
YDR202C,60,-0.050000004
YDR203W,60,-0.22
YDR205W,60,0.089999996
YDR206W,60,0.205
YDR207C,60,0.315
YDR208W,60,0.055
YDR209C,60,0.19999999
YDR210W,60,0.20500001
YDR211W,60,0.25
YDR212W,60,0.02
YDR213W,60,0.40500003
YDR214W,60,-0.585
YDR215C,60,-0.57
YDR216W,60,-0.08
YDR217C,60,0.23
YDR219C,60,0.245
YDR221W,60,-0.18499999
YDR222W,60,0.31
YDR223W,60,0.1
YDR224C,60,1.8050001
YDR225W,60,1.655
YDR226W,60,0.28
YDR227W,60,0.305
YDR228C,60,0.285
YDR229W,60,0.21499999
YDR230W,60,-0.059999995
YDR231C,60,-0.26
YDR232W,60,0.515
YDR233C,60,-0.29
YDR234W,60,0.375
YDR235W,60,-0.145
YDR237W,60,-0.425
YDR238C,60,-0.1
YDR240C,60,-0.125
YDR242W,60,-0.19
YDR244W,60,0.2
YDR245W,60,0.050000004
YDR247W,60,0.24000001
YDR249C,60,-0.445
YDR251W,60,-0.065
YDR252W,60,0.21000001
YDR253C,60,-0.005000003
YDR254W,60,0.13000001
YDR255C,60,-0.155
YDR256C,60,-0.255
YDR257C,60,-0.305
YDR258C,60,0.07000001
YDR260C,60,0.08
YDR261C,60,0.53499997
YDR262W,60,-0.049999997
YDR263C,60,0.19
YDR264C,60,-0.12499999
YDR265W,60,0.015000001
YDR266C,60,0.095
YDR267C,60,-0.055000007
YDR268W,60,0.0
YDR269C,60,-0.38
YDR270W,60,-0.38
YDR271C,60,-0.405
YDR272W,60,-0.095
YDR273W,60,0.35999998
YDR274C,60,-0.195
YDR275W,60,0.02
YDR276C,60,-0.39499998
YDR277C,60,-0.44
YDR279W,60,0.445
YDR280W,60,0.345
YDR281C,60,-0.009999998
YDR282C,60,-0.45
YDR284C,60,-0.29000002
YDR286C,60,-0.24
YDR288W,60,-0.015000001
YDR292C,60,-0.475
YDR293C,60,0.195
YDR294C,60,0.235
YDR295C,60,0.074999996
YDR296W,60,-0.080000006
YDR297W,60,0.905
YDR298C,60,0.07499999
YDR299W,60,0.33
YDR301W,60,-0.065
YDR302W,60,0.120000005
YDR303C,60,-0.34
YDR304C,60,0.035
YDR305C,60,0.075
YDR306C,60,-0.055
YDR307W,60,0.044999994
YDR308C,60,-0.195
YDR311W,60,0.07000001
YDR312W,60,0.19500001
YDR316W,60,-0.21
YDR318W,60,0.21000001
YDR319C,60,-0.004999999
YDR320C,60,-0.04
YDR321W,60,0.245
YDR324C,60,0.08
YDR326C,60,0.005000003
YDR328C,60,0.26500002
YDR329C,60,0.14
YDR330W,60,-0.35500002
YDR332W,60,0.049999997
YDR334W,60,-0.39999998
YDR342C,60,-0.515
YDR343C,60,-0.42
YDR345C,60,0.13
YDR346C,60,0.345
YDR347W,60,-0.355
YDR348C,60,0.29500002
YDR349C,60,0.145
YDR350C,60,0.14999999
YDR351W,60,0.26
YDR352W,60,-0.010000005
YDR353W,60,0.25
YDR354W,60,-0.22
YDR355C,60,0.755
YDR356W,60,0.35000002
YDR357C,60,0.065
YDR358W,60,-0.5
YDR359C,60,0.18
YDR360W,60,-0.165
YDR361C,60,0.24000001
YDR362C,60,0.120000005
YDR363W,60,0.0
YDR364C,60,-0.18999998
YDR365C,60,0.45499998
YDR366C,60,0.31
YDR367W,60,0.035
YDR368W,60,-0.49
YDR369C,60,-0.21499999
YDR370C,60,0.255
YDR371W,60,0.21
YDR372C,60,0.145
YDR373W,60,0.29500002
YDR375C,60,-0.41000003
YDR376W,60,-0.03
YDR377W,60,0.005
YDR378C,60,0.025000002
YDR379W,60,-0.29000002
YDR380W,60,-1.6
YDR381W,60,-0.065000005
YDR382W,60,-0.315
YDR383C,60,-0.11000001
YDR384C,60,-0.085
YDR385W,60,-0.030000001
YDR386W,60,0.115
YDR387C,60,-0.02
YDR388W,60,-0.02
YDR389W,60,0.004999995
YDR390C,60,0.45
YDR391C,60,-0.009999998
YDR392W,60,0.120000005
YDR393W,60,0.11
YDR394W,60,-0.15
YDR395W,60,0.195
YDR396W,60,0.31500003
YDR397C,60,0.19000001
YDR399W,60,0.615
YDR400W,60,0.235
YDR401W,60,-0.045
YDR403W,60,-0.21000001
YDR405W,60,-0.44
YDR407C,60,-0.050000004
YDR408C,60,-0.32999998
YDR409W,60,-0.34
YDR410C,60,-0.155
YDR411C,60,-0.105
YDR412W,60,0.22
YDR413C,60,0.35
YDR414C,60,0.23500001
YDR415C,60,0.015
YDR416W,60,0.035
YDR417C,60,0.33999997
YDR418W,60,0.25
YDR419W,60,0.120000005
YDR420W,60,0.385
YDR421W,60,-0.09
YDR422C,60,0.28500003
YDR423C,60,0.07
YDR424C,60,0.18
YDR425W,60,0.074999996
YDR426C,60,-0.2
YDR427W,60,-0.04
YDR428C,60,-0.22
YDR429C,60,0.335
YDR430C,60,-0.73
YDR431W,60,-0.525
YDR432W,60,-0.25
YDR433W,60,-0.074999996
YDR434W,60,-0.040000003
YDR435C,60,-0.074999996
YDR436W,60,-0.34
YDR438W,60,0.05
YDR439W,60,-0.155
YDR440W,60,0.40500003
YDR442W,60,0.015
YDR443C,60,0.024999999
YDR444W,60,0.42000002
YDR445C,60,0.37
YDR446W,60,0.085
YDR447C,60,0.19
YDR448W,60,0.605
YDR449C,60,0.445
YDR450W,60,-0.16
YDR451C,60,0.495
YDR453C,60,-0.31
YDR454C,60,-0.095
YDR455C,60,-0.34
YDR456W,60,-0.575
YDR457W,60,-0.16
YDR458C,60,-0.2
YDR459C,60,-0.175
YDR463W,60,-0.009999998
YDR464W,60,0.46
YDR465C,60,0.295
YDR467C,60,0.035
YDR468C,60,0.120000005
YDR469W,60,-0.08499999
YDR471W,60,0.075
YDR472W,60,0.065000005
YDR474C,60,-0.20500001
YDR475C,60,-0.35
YDR476C,60,0.035
YDR477W,60,-0.22
YDR478W,60,-0.265
YDR479C,60,0.07
YDR480W,60,-0.120000005
YDR481C,60,-0.009999998
YDR482C,60,-0.215
YDR483W,60,0.22
YDR484W,60,-0.25
YDR485C,60,-0.010000002
YDR486C,60,0.19999999
YDR487C,60,-0.005000003
YDR488C,60,0.31
YDR489W,60,0.31
YDR491C,60,-0.36
YDR493W,60,-0.745
YDR494W,60,-0.32
YDR496C,60,0.395
YDR498C,60,-0.51
YDR500C,60,-0.099999994
YDR501W,60,0.3
YDR502C,60,0.13499999
YDR503C,60,-0.015000001
YDR504C,60,-0.27
YDR505C,60,-0.17999998
YDR508C,60,0.11000001
YDR509W,60,0.42
YDR510W,60,0.11
YDR511W,60,-0.46999997
YDR512C,60,-0.015000004
YDR513W,60,-0.515
YDR518W,60,0.125
YDR519W,60,-0.285
YDR524C,60,-0.115
YDR527W,60,-0.045
YDR528W,60,-0.29
YDR531W,60,-0.09
YDR533C,60,-0.36999997
YDR539W,60,-0.27499998
YDR541C,60,-0.13
YDR543C,60,-0.3
YDR544C,60,0.08
YDR545W,60,-0.38
YEL001C,60,0.33
YEL002C,60,0.009999998
YEL003W,60,0.14999999
YEL004W,60,-0.125
YEL005C,60,-0.065
YEL006W,60,0.04
YEL007W,60,-0.20499998
YEL009C,60,-0.22
YEL011W,60,-0.645
YEL014C,60,0.2
YEL016C,60,0.22
YEL017C-A,60,-0.565
YEL017W,60,0.27
YEL019C,60,-0.055
YEL021W,60,0.47000003
YEL024W,60,-0.62
YEL025C,60,-0.36
YEL026W,60,-0.035
YEL027W,60,-0.595
YEL028W,60,-1.205
YEL029C,60,0.099999994
YEL030W,60,-0.95000005
YEL031W,60,0.07
YEL032W,60,-1.1700001
YEL033W,60,-0.405
YEL034W,60,-0.46
YEL035C,60,-0.435
YEL037C,60,0.08500001
YEL039C,60,-0.635
YEL043W,60,0.32
YEL045C,60,-0.085
YEL047C,60,0.365
YEL048C,60,-0.23500001
YEL049W,60,-0.15
YEL050C,60,-0.59000003
YEL051W,60,0.215
YEL052W,60,-0.33999997
YEL053C,60,0.31
YEL055C,60,0.275
YEL056W,60,-0.024999999
YEL057C,60,-0.06
YEL058W,60,-0.019999996
YEL059C-A,60,-0.22
YEL059W,60,-0.16999999
YEL062W,60,0.29000002
YEL064C,60,-0.11000001
YEL065W,60,-0.78999996
YEL066W,60,0.05
YEL067C,60,-0.145
YEL068C,60,0.105
YEL069C,60,-0.06999999
YEL070W,60,-0.29
YEL071W,60,0.32
YEL072W,60,-0.085
YEL073C,60,0.015000001
YEL074W,60,-0.295
YEL075C,60,-0.40499997
YEL076C,60,-0.49
YEL076C-A,60,-0.19000001
YEL077C,60,-0.235
YER001W,60,1.01
YER002W,60,0.38
YER003C,60,0.29
YER004W,60,-0.56
YER005W,60,-0.074999996
YER006W,60,0.625
YER007C-A,60,-0.074999996
YER007W,60,0.35
YER009W,60,0.18
YER011W,60,0.60499996
YER012W,60,-0.07
YER013W,60,-0.075
YER014W,60,0.39000002
YER015W,60,-0.34
YER016W,60,0.56
YER017C,60,-0.050000004
YER019C-A,60,0.54
YER019W,60,0.7
YER020W,60,-0.034999996
YER021W,60,0.29
YER022W,60,0.044999998
YER023W,60,0.19000001
YER024W,60,-0.565
YER025W,60,0.525
YER026C,60,0.11000001
YER027C,60,0.35500002
YER028C,60,0.135
YER029C,60,0.24
YER030W,60,0.205
YER031C,60,0.045
YER032W,60,0.415
YER033C,60,-0.14
YER034W,60,0.365
YER035W,60,-0.13499999
YER036C,60,0.24000001
YER037W,60,0.33499998
YER038C,60,0.345
YER039C,60,-0.11
YER040W,60,-0.015000002
YER041W,60,-0.095000006
YER042W,60,0.515
YER043C,60,0.52
YER045C,60,-0.03500001
YER047C,60,-0.11
YER049W,60,0.28500003
YER050C,60,-0.44
YER051W,60,-0.004999995
YER052C,60,-0.235
YER053C,60,-0.805
YER054C,60,-0.135
YER055C,60,-0.03
YER056C-A,60,0.42000002
YER057C,60,-0.07
YER059W,60,-0.085
YER060W,60,-0.29500002
YER060W-A,60,-0.114999995
YER061C,60,-0.245
YER062C,60,-0.054999992
YER063W,60,0.09
YER064C,60,0.355
YER066W,60,-0.085
YER072W,60,-0.335
YER073W,60,0.305
YER074W,60,0.14
YER075C,60,-0.025000006
YER076C,60,0.1
YER077C,60,0.48
YER083C,60,-0.024999999
YER086W,60,0.22500001
YER087C-A,60,0.215
YER087W,60,0.010000001
YER088C,60,0.43
YER089C,60,0.11
YER091C,60,0.315
YER093C,60,-0.225
YER095W,60,0.4
YER096W,60,0.575
YER097W,60,-0.18
YER098W,60,-0.034999996
YER099C,60,0.34
YER100W,60,0.265
YER101C,60,0.18
YER102W,60,0.16
YER103W,60,-0.655
YER104W,60,0.17
YER105C,60,0.005000001
YER106W,60,-0.245
YER107C,60,-0.16
YER108C,60,0.32999998
YER109C,60,0.425
YER110C,60,0.35
YER111C,60,0.12
YER112W,60,0.06
YER113C,60,0.595
YER114C,60,-0.004999999
YER115C,60,-0.03
YER116C,60,-0.020000003
YER117W,60,-0.07
YER118C,60,0.425
YER119C,60,-0.29
YER119C-A,60,0.27
YER120W,60,0.21
YER122C,60,0.295
YER124C,60,-0.54499996
YER126C,60,0.26
YER134C,60,-0.265
YER138C,60,-0.13
YER141W,60,-0.62
YER142C,60,-0.45
YER143W,60,-0.17
YER144C,60,0.61
YER145C,60,-1.435
YER146W,60,0.07
YER148W,60,0.275
YER150W,60,-0.51
YER152C,60,0.275
YER154W,60,-0.16
YER156C,60,0.375
YER158C,60,-0.165
YER159C,60,-0.049999997
YER160C,60,0.425
YER166W,60,0.27
YER169W,60,-0.215
YER170W,60,0.049999997
YER172C,60,-0.04
YER174C,60,0.235
YER175C,60,-0.33
YER178W,60,-0.215
YER180C,60,0.135
YER181C,60,0.59
YER183C,60,0.114999995
YER184C,60,0.09
YER189W,60,-0.595
YER190W,60,-0.18
YFL001W,60,0.195
YFL002C,60,0.41
YFL004W,60,0.14
YFL005W,60,0.04
YFL006W,60,-0.19500001
YFL007W,60,0.51
YFL009W,60,-0.025
YFL010C,60,0.38
YFL011W,60,-0.44
YFL013C,60,0.16000001
YFL014W,60,0.505
YFL016C,60,-0.94
YFL018C,60,-0.185
YFL019C,60,-0.11
YFL020C,60,-0.36499998
YFL021W,60,-0.44
YFL022C,60,0.14
YFL023W,60,0.19
YFL024C,60,-0.095
YFL025C,60,0.07
YFL026W,60,-0.47
YFL027C,60,-0.255
YFL028C,60,0.03999999
YFL029C,60,0.015000001
YFL030W,60,-0.105000004
YFL031W,60,0.045
YFL032W,60,0.155
YFL033C,60,0.065
YFL034C-B,60,0.1
YFL035C-B,60,0.1
YFL036W,60,-0.305
YFL037W,60,0.28
YFL038C,60,0.099999994
YFL039C,60,-0.435
YFL041W,60,-0.475
YFL042C,60,-0.45999998
YFL044C,60,-0.63
YFL045C,60,0.024999999
YFL046W,60,0.054999996
YFL047W,60,-0.245
YFL048C,60,-0.024999999
YFL049W,60,0.0
YFL050C,60,-0.17
YFL051C,60,-0.505
YFL052W,60,-0.405
YFL053W,60,-0.365
YFL054C,60,-0.35999998
YFL055W,60,-0.21
YFL057C,60,0.0
YFL059W,60,-0.29
YFL060C,60,0.185
YFL061W,60,-0.435
YFL062W,60,-0.69
YFL064C,60,-0.53000003
YFR002W,60,-0.27
YFR003C,60,-0.345
YFR004W,60,-0.145
YFR008W,60,0.255
YFR009W,60,-0.01
YFR011C,60,-0.255
YFR013W,60,0.135
YFR015C,60,-0.75
YFR017C,60,-0.75
YFR018C,60,0.325
YFR020W,60,-0.5
YFR024C-A,60,-0.445
YFR031C-A,60,0.165
YFR032C,60,-0.15
YFR034C,60,0.425
YFR036W,60,0.065
YFR037C,60,0.48
YFR038W,60,0.075
YFR040W,60,0.09
YFR041C,60,0.089999996
YFR042W,60,-0.255
YFR043C,60,0.13
YFR044C,60,-0.265
YFR045W,60,0.049999997
YFR046C,60,0.135
YFR047C,60,0.059999987
YFR048W,60,0.049999997
YFR049W,60,-0.315
YFR050C,60,-0.19500001
YFR051C,60,0.175
YFR052W,60,-0.31
YFR056C,60,-0.47500002
YFR057W,60,0.635
YGL001C,60,-0.22
YGL003C,60,-0.12
YGL005C,60,0.074999996
YGL006W,60,0.005000001
YGL008C,60,-1.0
YGL009C,60,0.36
YGL010W,60,-0.38000003
YGL011C,60,-0.14
YGL012W,60,-0.135
YGL013C,60,-0.044999998
YGL014W,60,0.034999996
YGL016W,60,-0.049999997
YGL017W,60,0.14500001
YGL018C,60,-0.120000005
YGL019W,60,0.245
YGL021W,60,-0.00999999
YGL022W,60,0.39
YGL023C,60,0.23500001
YGL025C,60,0.22
YGL026C,60,-0.095
YGL027C,60,0.455
YGL030W,60,0.035000004
YGL031C,60,0.2
YGL032C,60,-0.335
YGL036W,60,0.095
YGL038C,60,-0.14500001
YGL039W,60,0.11
YGL040C,60,-0.53000003
YGL042C,60,-0.2
YGL045W,60,0.15
YGL047W,60,-0.235
YGL048C,60,0.060000002
YGL049C,60,0.33499998
YGL050W,60,0.33
YGL051W,60,0.095000006
YGL052W,60,0.21
YGL053W,60,0.075
YGL054C,60,-0.080000006
YGL055W,60,-0.33500004
YGL056C,60,-0.054999992
YGL057C,60,0.03
YGL058W,60,-0.13
YGL060W,60,0.034999996
YGL061C,60,0.20000002
YGL062W,60,-0.21
YGL063W,60,0.085
YGL064C,60,-0.155
YGL066W,60,0.025
YGL067W,60,-0.115
YGL068W,60,-0.305
YGL069C,60,-0.45999998
YGL070C,60,0.31
YGL071W,60,-0.074999996
YGL072C,60,0.16499999
YGL073W,60,-0.080000006
YGL074C,60,0.099999994
YGL075C,60,0.235
YGL076C,60,0.365
YGL077C,60,0.1
YGL078C,60,0.55
YGL079W,60,0.12
YGL080W,60,-0.14500001
YGL082W,60,-0.2
YGL083W,60,0.05
YGL084C,60,-0.295
YGL085W,60,0.08
YGL086W,60,-0.14500001
YGL087C,60,-0.115
YGL089C,60,-1.615
YGL090W,60,-0.91499996
YGL091C,60,0.115
YGL092W,60,0.055
YGL093W,60,0.545
YGL095C,60,0.14
YGL097W,60,0.28
YGL099W,60,0.57
YGL100W,60,0.41500002
YGL101W,60,0.215
YGL102C,60,0.26999998
YGL103W,60,0.115
YGL104C,60,-0.29500002
YGL105W,60,0.295
YGL106W,60,0.15
YGL107C,60,-0.225
YGL108C,60,0.099999994
YGL109W,60,-0.16999999
YGL110C,60,-0.25
YGL111W,60,0.465
YGL112C,60,0.225
YGL113W,60,0.09
YGL114W,60,-0.24
YGL115W,60,-0.020000003
YGL116W,60,-0.975
YGL117W,60,-0.175
YGL119W,60,-0.065
YGL120C,60,0.53499997
YGL121C,60,-0.21500003
YGL122C,60,0.215
YGL123W,60,-0.11
YGL124C,60,0.175
YGL125W,60,0.40499997
YGL126W,60,-0.155
YGL127C,60,0.060000002
YGL130W,60,-0.004999995
YGL132W,60,-0.185
YGL135W,60,-0.17
YGL139W,60,0.085
YGL140C,60,-0.120000005
YGL143C,60,-0.27
YGL144C,60,0.385
YGL145W,60,0.3
YGL147C,60,0.125
YGL148W,60,0.56
YGL149W,60,0.00500001
YGL151W,60,-0.14
YGL152C,60,-0.2
YGL153W,60,-0.14
YGL155W,60,0.089999996
YGL156W,60,-0.235
YGL159W,60,-0.125
YGL160W,60,-0.2
YGL161C,60,-0.34
YGL162W,60,-0.35500002
YGL163C,60,0.275
YGL164C,60,0.17499998
YGL165C,60,0.1
YGL166W,60,0.455
YGL167C,60,0.045
YGL168W,60,0.23
YGL169W,60,0.05
YGL171W,60,0.425
YGL173C,60,-0.08
YGL174W,60,0.29
YGL175C,60,0.049999997
YGL176C,60,0.065
YGL177W,60,-0.095
YGL179C,60,-0.23000002
YGL181W,60,0.080000006
YGL184C,60,1.385
YGL185C,60,0.13999999
YGL186C,60,-0.27499998
YGL187C,60,-0.575
YGL189C,60,0.46
YGL190C,60,0.035000004
YGL191W,60,-0.054999992
YGL192W,60,-0.04
YGL193C,60,0.04
YGL195W,60,-0.004999999
YGL196W,60,-0.08
YGL197W,60,-0.32
YGL198W,60,-0.22500001
YGL199C,60,-0.19999999
YGL200C,60,0.215
YGL201C,60,-0.75
YGL202W,60,-0.27
YGL203C,60,0.305
YGL204C,60,-0.29
YGL208W,60,-0.255
YGL209W,60,0.010000005
YGL210W,60,0.16
YGL211W,60,0.305
YGL212W,60,0.34
YGL213C,60,-0.01
YGL214W,60,0.13
YGL215W,60,0.315
YGL216W,60,0.655
YGL217C,60,0.275
YGL218W,60,0.255
YGL219C,60,0.05
YGL221C,60,0.175
YGL222C,60,-0.21000001
YGL223C,60,0.07
YGL224C,60,0.009999998
YGL225W,60,0.185
YGL226C-A,60,-0.19999999
YGL226W,60,0.015000001
YGL227W,60,-0.375
YGL233W,60,0.16
YGL234W,60,-0.205
YGL236C,60,-0.245
YGL237C,60,0.225
YGL241W,60,0.11999999
YGL247W,60,0.060000002
YGL248W,60,0.32
YGL249W,60,-0.27499998
YGL250W,60,-1.03
YGL251C,60,-0.335
YGL252C,60,0.065
YGL253W,60,0.22500001
YGL254W,60,-0.08
YGL255W,60,-0.555
YGL256W,60,-0.12
YGL257C,60,-0.13499999
YGL259W,60,-1.35
YGL261C,60,0.08
YGR002C,60,0.23
YGR004W,60,0.08
YGR006W,60,-0.08
YGR008C,60,-0.49
YGR009C,60,-0.030000001
YGR010W,60,0.0
YGR011W,60,-0.21000001
YGR012W,60,0.145
YGR013W,60,0.095
YGR014W,60,0.39999998
YGR015C,60,-0.12
YGR017W,60,0.015000001
YGR018C,60,0.030000001
YGR019W,60,-0.545
YGR020C,60,0.09
YGR024C,60,0.015000001
YGR025W,60,-0.114999995
YGR026W,60,-0.185
YGR028W,60,-0.18
YGR030C,60,-0.22999999
YGR031W,60,0.05
YGR032W,60,0.285
YGR033C,60,0.225
YGR034W,60,0.105000004
YGR035C,60,-0.44
YGR036C,60,-1.28
YGR037C,60,0.335
YGR038W,60,-0.31
YGR039W,60,-0.085
YGR040W,60,0.055
YGR041W,60,-0.28
YGR042W,60,0.030000001
YGR044C,60,-0.285
YGR046W,60,0.215
YGR048W,60,-0.34
YGR050C,60,0.019999996
YGR051C,60,0.030000001
YGR054W,60,-0.03
YGR055W,60,0.605
YGR056W,60,-0.015
YGR057C,60,0.035
YGR058W,60,0.205
YGR060W,60,0.20999998
YGR061C,60,0.029999997
YGR062C,60,0.135
YGR064W,60,-0.36
YGR067C,60,-0.3
YGR068C,60,-0.17
YGR069W,60,0.049999997
YGR071C,60,-0.01
YGR073C,60,0.105000004
YGR074W,60,-0.120000005
YGR075C,60,0.025
YGR077C,60,-0.16
YGR078C,60,0.22999999
YGR079W,60,0.48000002
YGR080W,60,-0.12
YGR081C,60,0.095
YGR082W,60,-0.5
YGR083C,60,0.435
YGR084C,60,-0.1
YGR085C,60,0.385
YGR086C,60,-0.25
YGR087C,60,-0.7
YGR088W,60,-0.41
YGR089W,60,-0.215
YGR090W,60,-0.099999994
YGR091W,60,0.05
YGR092W,60,-2.1200001
YGR093W,60,0.195
YGR094W,60,0.44
YGR095C,60,0.375
YGR096W,60,-0.17
YGR097W,60,0.255
YGR098C,60,0.245
YGR100W,60,-0.085
YGR102C,60,-0.52
YGR103W,60,0.80999994
YGR104C,60,0.11999999
YGR105W,60,-0.13
YGR106C,60,-0.355
YGR108W,60,-0.17000002
YGR109C,60,-0.14999998
YGR110W,60,-0.165
YGR111W,60,0.114999995
YGR112W,60,-0.105
YGR113W,60,0.485
YGR114C,60,0.375
YGR115C,60,0.085
YGR116W,60,0.255
YGR118W,60,0.225
YGR120C,60,0.345
YGR121C,60,-0.11
YGR122W,60,0.13
YGR123C,60,0.305
YGR124W,60,0.08499999
YGR125W,60,0.04
YGR126W,60,0.29
YGR127W,60,0.135
YGR128C,60,0.495
YGR129W,60,0.26999998
YGR131W,60,-0.095000006
YGR132C,60,-0.35
YGR133W,60,0.82000005
YGR134W,60,0.13
YGR135W,60,-0.22999999
YGR136W,60,0.045
YGR137W,60,-0.18
YGR138C,60,0.84000003
YGR139W,60,0.57
YGR140W,60,0.565
YGR145W,60,0.665
YGR146C,60,-0.325
YGR147C,60,0.02
YGR148C,60,0.215
YGR150C,60,-0.02
YGR151C,60,0.905
YGR152C,60,0.83
YGR153W,60,0.4
YGR154C,60,0.325
YGR155W,60,0.13499999
YGR156W,60,0.415
YGR157W,60,0.145
